,zone,x,y
2020-09-01,Amstetten,0.0,4.0
2020-09-02,Amstetten,0.0,1.0
2020-09-03,Amstetten,0.0,1.0
2020-09-04,Amstetten,0.0,1.0
2020-09-05,Amstetten,1.0,-6.0
2020-09-06,Amstetten,0.0,
2020-09-07,Amstetten,4.0,3.0
2020-09-08,Amstetten,1.0,1.0
2020-09-09,Amstetten,1.0,-1.0
2020-09-10,Amstetten,2.0,-1.0
2020-09-11,Amstetten,2.0,-3.0
2020-09-12,Amstetten,2.0,-6.0
2020-09-13,Amstetten,1.0,
2020-09-14,Amstetten,1.0,-3.0
2020-09-15,Amstetten,1.0,-3.0
2020-09-16,Amstetten,2.0,-3.0
2020-09-17,Amstetten,2.0,0.0
2020-09-18,Amstetten,1.0,-1.0
2020-09-19,Amstetten,0.0,-3.0
2020-09-20,Amstetten,0.0,
2020-09-21,Amstetten,0.0,0.0
2020-09-22,Amstetten,2.0,0.0
2020-09-23,Amstetten,3.0,2.0
2020-09-24,Amstetten,3.0,1.0
2020-09-25,Amstetten,2.0,4.0
2020-09-26,Amstetten,2.0,4.0
2020-09-27,Amstetten,0.0,0.0
2020-09-28,Amstetten,1.0,4.0
2020-09-29,Amstetten,6.0,3.0
2020-09-30,Amstetten,4.0,2.0
2020-10-01,Amstetten,4.0,0.0
2020-10-02,Amstetten,19.0,1.0
2020-10-03,Amstetten,5.0,1.0
2020-10-04,Amstetten,1.0,-2.0
2020-10-05,Amstetten,5.0,1.0
2020-10-06,Amstetten,4.0,1.0
2020-10-07,Amstetten,6.0,1.0
2020-10-08,Amstetten,13.0,2.0
2020-10-09,Amstetten,4.0,1.0
2020-10-10,Amstetten,3.0,2.0
2020-10-11,Amstetten,7.0,4.0
2020-10-12,Amstetten,6.0,2.0
2020-10-13,Amstetten,9.0,3.0
2020-10-14,Amstetten,8.0,4.0
2020-10-15,Amstetten,16.0,3.0
2020-10-16,Amstetten,17.0,4.0
2020-10-17,Amstetten,31.0,4.0
2020-10-18,Amstetten,14.0,3.0
2020-10-19,Amstetten,24.0,2.0
2020-10-20,Amstetten,18.0,3.0
2020-10-21,Amstetten,19.0,2.0
2020-10-22,Amstetten,55.0,3.0
2020-10-23,Amstetten,38.0,3.0
2020-10-24,Amstetten,45.0,4.0
2020-10-25,Amstetten,33.0,1.0
2020-10-26,Amstetten,42.0,20.0
2020-10-27,Amstetten,54.0,6.0
2020-10-28,Amstetten,32.0,5.0
2020-10-29,Amstetten,95.0,8.0
2020-10-30,Amstetten,60.0,9.0
2020-10-31,Amstetten,62.0,4.0
2020-11-01,Amstetten,94.0,3.0
2020-11-02,Amstetten,109.0,8.0
2020-11-03,Amstetten,57.0,9.0
2020-11-04,Amstetten,98.0,10.0
2020-11-05,Amstetten,107.0,10.0
2020-11-06,Amstetten,127.0,12.0
2020-11-07,Amstetten,83.0,9.0
2020-11-08,Amstetten,121.0,8.0
2020-11-09,Amstetten,114.0,10.0
2020-11-10,Amstetten,140.0,10.0
2020-11-11,Amstetten,102.0,10.0
2020-11-12,Amstetten,115.0,10.0
2020-11-13,Amstetten,124.0,12.0
2020-11-14,Amstetten,115.0,8.0
2020-11-15,Amstetten,131.0,7.0
2020-11-16,Amstetten,126.0,9.0
2020-11-17,Amstetten,136.0,16.0
2020-11-18,Amstetten,77.0,15.0
2020-11-19,Amstetten,148.0,17.0
2020-11-20,Amstetten,164.0,18.0
2020-11-21,Amstetten,155.0,13.0
2020-11-22,Amstetten,40.0,10.0
2020-11-23,Amstetten,117.0,15.0
2020-11-24,Amstetten,82.0,15.0
2020-11-25,Amstetten,128.0,15.0
2020-11-26,Amstetten,104.0,16.0
2020-11-27,Amstetten,92.0,17.0
2020-11-28,Amstetten,68.0,13.0
2020-11-29,Amstetten,82.0,9.0
2020-11-30,Amstetten,74.0,13.0
2020-12-01,Amstetten,66.0,14.0
2020-12-02,Amstetten,66.0,14.0
2020-12-03,Amstetten,73.0,15.0
2020-12-04,Amstetten,72.0,16.0
2020-12-05,Amstetten,86.0,11.0
2020-12-06,Amstetten,50.0,9.0
2020-12-07,Amstetten,69.0,12.0
2020-12-08,Amstetten,55.0,26.0
2020-12-09,Amstetten,43.0,8.0
2020-12-10,Amstetten,81.0,10.0
2020-12-11,Amstetten,65.0,11.0
2020-12-12,Amstetten,75.0,8.0
2020-12-13,Amstetten,65.0,9.0
2020-12-14,Amstetten,74.0,8.0
2020-12-15,Amstetten,49.0,8.0
2020-12-16,Amstetten,72.0,8.0
2020-12-17,Amstetten,60.0,9.0
2020-12-18,Amstetten,47.0,10.0
2020-12-19,Amstetten,53.0,8.0
2020-12-20,Amstetten,48.0,8.0
2020-12-21,Amstetten,47.0,8.0
2020-12-22,Amstetten,75.0,10.0
2020-12-23,Amstetten,56.0,11.0
2020-12-24,Amstetten,54.0,24.0
2020-12-25,Amstetten,13.0,24.0
2020-12-26,Amstetten,59.0,15.0
2020-12-27,Amstetten,51.0,7.0
2020-12-28,Amstetten,43.0,23.0
2020-12-29,Amstetten,96.0,21.0
2020-12-30,Amstetten,63.0,20.0
2020-12-31,Amstetten,56.0,22.0
2021-01-01,Amstetten,34.0,30.0
2021-01-02,Amstetten,36.0,14.0
2021-01-03,Amstetten,38.0,9.0
2021-01-04,Amstetten,47.0,19.0
2021-01-05,Amstetten,37.0,18.0
2021-01-06,Amstetten,45.0,29.0
2021-01-07,Amstetten,28.0,18.0
2021-01-08,Amstetten,47.0,18.0
2021-01-09,Amstetten,36.0,12.0
2021-01-10,Amstetten,42.0,8.0
2021-01-11,Amstetten,23.0,12.0
2021-01-12,Amstetten,31.0,13.0
2021-01-13,Amstetten,20.0,12.0
2021-01-14,Amstetten,15.0,14.0
2021-01-15,Amstetten,28.0,14.0
2021-01-16,Amstetten,19.0,10.0
2021-01-17,Amstetten,27.0,6.0
2021-01-18,Amstetten,27.0,12.0
2021-01-19,Amstetten,25.0,11.0
2021-01-20,Amstetten,14.0,11.0
2021-01-21,Amstetten,23.0,12.0
2021-01-22,Amstetten,9.0,13.0
