,prov,cases,deaths,short_range_movement,mid_range_movement,Country,residential
2020-09-01,Ain,73.0,1.0,0.555961012799925,0.0520518153459033,France,6.0
2020-09-02,Ain,68.0,0.0,0.5706834014620545,0.0542811428001399,France,4.0
2020-09-03,Ain,101.0,1.0,0.53459996170107,0.05528318999828201,France,3.0
2020-09-04,Ain,78.0,0.0,0.5355770832194721,0.0506328790543654,France,2.0
2020-09-05,Ain,40.0,0.0,0.6286700147496151,0.0274050195960346,France,-1.0
2020-09-06,Ain,3.0,0.0,0.5665037809616311,0.0109172168229158,France,-1.0
2020-09-07,Ain,90.0,0.0,0.5228519609958308,0.0466783900250085,France,3.0
2020-09-08,Ain,92.0,2.0,0.5072310366382311,0.0533882776915308,France,3.0
2020-09-09,Ain,67.0,0.0,0.5122650055596497,0.0474548502264438,France,2.0
2020-09-10,Ain,103.0,0.0,0.4932627070432213,0.0520056576881924,France,3.0
2020-09-11,Ain,100.0,0.0,0.4618128151583937,0.0476748368633093,France,1.0
2020-09-12,Ain,43.0,0.0,0.5468402054954832,0.0255194042458094,France,-2.0
2020-09-13,Ain,5.0,0.0,0.5880114656332545,0.012433115735614,France,-4.0
2020-09-14,Ain,118.0,0.0,0.5265924184001395,0.0528140277728499,France,1.0
2020-09-15,Ain,154.0,1.0,0.4983438571131934,0.0543873002767752,France,2.0
2020-09-16,Ain,153.0,0.0,0.4769245896511305,0.0466396185870453,France,2.0
2020-09-17,Ain,99.0,0.0,0.4910684961383723,0.0496869510730659,France,2.0
2020-09-18,Ain,103.0,0.0,0.5222882086880737,0.0469593349003602,France,2.0
2020-09-19,Ain,29.0,0.0,0.6154545707606525,0.0240973136582474,France,1.0
2020-09-20,Ain,4.0,0.0,0.5854435172112903,0.0106456228417242,France,0.0
2020-09-21,Ain,129.0,0.0,0.4805513046126778,0.0439398587454606,France,3.0
2020-09-22,Ain,104.0,0.0,0.478365273479589,0.049357342960042,France,4.0
2020-09-23,Ain,101.0,0.0,0.487292513381818,0.0485995329273131,France,3.0
2020-09-24,Ain,85.0,0.0,0.4925833897498508,0.0512771267619285,France,4.0
2020-09-25,Ain,82.0,0.0,0.4854964784365833,0.0472260506130535,France,4.0
2020-09-26,Ain,25.0,0.0,0.5808916933744792,0.0236778961257242,France,3.0
2020-09-27,Ain,1.0,0.0,0.6288343422155093,0.0104072888075376,France,4.0
2020-09-28,Ain,96.0,0.0,0.5513778986831533,0.0504087324286674,France,5.0
2020-09-29,Ain,106.0,0.0,0.5431556076991505,0.0594104907945126,France,3.0
2020-09-30,Ain,95.0,0.0,0.5082037645659097,0.0491348339707807,France,2.0
2020-10-01,Ain,106.0,3.0,0.4681042764399027,0.0532691858464463,France,3.0
2020-10-02,Ain,128.0,0.0,0.4867349948336041,0.0467424364872492,France,5.0
2020-10-03,Ain,61.0,0.0,0.5819942102999534,0.0251614199762146,France,3.0
2020-10-04,Ain,9.0,0.0,0.6444875260478784,0.0115801243213015,France,2.0
2020-10-05,Ain,208.0,0.0,0.5083634347888446,0.0493717315465513,France,3.0
2020-10-06,Ain,191.0,0.0,0.4754739003036455,0.0531899064993094,France,4.0
2020-10-07,Ain,228.0,0.0,0.5096262975662549,0.0526550377278509,France,3.0
2020-10-08,Ain,259.0,0.0,0.5119103654021138,0.0526664214320753,France,3.0
2020-10-09,Ain,291.0,0.0,0.4910275018426792,0.0498298501477564,France,4.0
2020-10-10,Ain,103.0,1.0,0.5451458494765054,0.0228892252498129,France,3.0
2020-10-11,Ain,12.0,0.0,0.5921286314008917,0.0099054213760413,France,3.0
2020-10-12,Ain,476.0,1.0,0.5175290224315859,0.0462246474379795,France,4.0
2020-10-13,Ain,366.0,0.0,0.5066289571422564,0.0566579864363367,France,4.0
2020-10-14,Ain,401.0,1.0,0.5346246089552898,0.05238761756667599,France,5.0
2020-10-15,Ain,540.0,1.0,0.5201946475102318,0.0523034531634421,France,5.0
2020-10-16,Ain,530.0,2.0,0.4914812837436904,0.0465015577170997,France,5.0
2020-10-17,Ain,204.0,0.0,0.5631485945662843,0.0225894625043901,France,4.0
2020-10-18,Ain,26.0,0.0,0.6345012109970988,0.0102879222112653,France,1.0
2020-10-19,Ain,750.0,0.0,0.5163819529278441,0.0430627713719242,France,9.0
2020-10-20,Ain,795.0,2.0,0.4906815660115993,0.0431188161407001,France,9.0
2020-10-21,Ain,795.0,0.0,0.5156450137300589,0.0501079374465736,France,7.0
2020-10-22,Ain,895.0,1.0,0.5339236316159501,0.0402513457685024,France,9.0
2020-10-23,Ain,1011.0,2.0,0.5418673187383704,0.0395071209120745,France,12.0
