,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2020-09-01,Agrigento,20207.65332364823,2766.0,11.0,0.0,52.72896287869892,0.6368872259871716,0.0531467713775148,Italy
2020-09-08,Agrigento,19575.154019409027,2712.0,37.0,0.0,53.4276989910296,0.652887499495608,0.0535148927690988,Italy
2020-09-15,Agrigento,19255.703684106287,2037.0,39.0,0.0,61.02307530069258,0.6537958937533529,0.0580460047060878,Italy
2020-09-22,Agrigento,19002.67232270319,2408.0,38.0,0.9999999999999996,58.24370325871252,0.7037090158991567,0.0557431781867171,Italy
2020-09-29,Agrigento,18854.539006694355,2810.0,23.0,0.9999999999999996,56.848436465950726,0.7760658026195711,0.0538788321734696,Italy
2020-10-06,Agrigento,18813.034278122865,2961.0,34.0,0.9999999999999996,57.88241205590235,0.7918567286490019,0.0546154692206003,Italy
2020-10-13,Agrigento,18785.95708447216,2977.0,46.0,0.9999999999999996,56.65200119207589,0.8024104544136471,0.0533073461837978,Italy
2020-10-20,Agrigento,18823.62614920505,2903.0,154.0,4.0,57.45755215808922,0.7968380748218968,0.049126106511829,Italy
2020-10-27,Agrigento,18820.996738834387,3006.0,169.0,3.0,59.43095768899147,0.7929174195609262,0.048485739030602,Italy
2020-11-03,Agrigento,18681.57794011702,3036.0,317.0,5.0,58.39439783811607,0.8099815184801339,0.0448074691771892,Italy
2020-11-10,Agrigento,18602.488779916297,2925.0,473.0,9.0,57.444920538997486,0.8248023370754998,0.04440587109477,Italy
2020-11-17,Agrigento,18434.137292397485,2974.0,436.0,18.000000000000004,58.16832968599638,0.8063698515317166,0.0423704528113068,Italy
2020-11-24,Agrigento,18374.968973525185,3031.0,509.0,12.999999999999996,57.64310181589662,0.8533764486378436,0.0410453479786078,Italy
2020-12-01,Agrigento,18282.584153417258,3044.0,474.0,20.0,58.65220361792608,0.8428225681065407,0.0416688925032758,Italy
2020-12-08,Agrigento,18281.000129564392,2846.0,209.0,9.0,58.87498518213422,0.8564331334591713,0.0403238505476756,Italy
2020-12-15,Agrigento,18253.680387179505,2902.0,282.0,11.0,59.29218446848672,0.8519045337553734,0.0425060778180949,Italy
2020-12-22,Agrigento,18460.04379943907,2849.0,151.0,5.0,60.89385634340943,0.8387184526579071,0.0447179621361812,Italy
2020-12-29,Agrigento,19158.95241272692,2679.0,177.0,3.0,62.63168762878353,0.8018846898558378,0.037725228070018,Italy
2021-01-05,Agrigento,18981.34723752719,2464.0,284.0,6.0,59.41940459143899,0.7715205527856572,0.035361825033799,Italy
2021-01-12,Agrigento,18050.52002257097,2489.0,424.0,5.0,56.97539629739867,0.8641368908162651,0.0416043726434853,Italy
2021-01-19,Agrigento,17098.396899752588,2531.0,359.0,5.0,52.82322587214123,0.9186725141929568,0.0384970263415741,Italy
2021-01-26,Agrigento,17130.094997675827,2540.0,273.0,6.0,54.72512775070184,0.9126164205498296,0.0349557307289526,Italy
2021-02-02,Agrigento,16985.17952437571,2443.0,268.0,6.0,55.48462930023259,0.9148850518622414,0.0406024954058839,Italy
2021-02-09,Agrigento,17157.022796873018,2500.0,215.0,2.0,56.13067007515024,0.8991342733854621,0.0426479288455119,Italy
